film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,special_features,film_last_update,language_name,category_name,actor_id,actor_first_name,actor_last_name,actor_last_update
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,10,CHRISTIAN,GABLE,"2006-02-15 04:34:33"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,20,LUCILLE,TRACY,"2006-02-15 04:34:33"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,30,SANDRA,PECK,"2006-02-15 04:34:33"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,40,JOHNNY,CAGE,"2006-02-15 04:34:33"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,53,MENA,TEMPLE,"2006-02-15 04:34:33"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,108,WARREN,NOLTE,"2006-02-15 04:34:33"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,162,OPRAH,KILMER,"2006-02-15 04:34:33"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,188,ROCK,DUKAKIS,"2006-02-15 04:34:33"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",English,Documentary,198,MARY,KEITEL,"2006-02-15 04:34:33"
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,3,4.99,48,12.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,19,BOB,FAWCETT,"2006-02-15 04:34:33"
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,3,4.99,48,12.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,85,MINNIE,ZELLWEGER,"2006-02-15 04:34:33"
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,3,4.99,48,12.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,90,SEAN,GUINESS,"2006-02-15 04:34:33"
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,3,4.99,48,12.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Horror,160,CHRIS,DEPP,"2006-02-15 04:34:33"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Documentary,2,NICK,WAHLBERG,"2006-02-15 04:34:33"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Documentary,19,BOB,FAWCETT,"2006-02-15 04:34:33"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Documentary,24,CAMERON,STREEP,"2006-02-15 04:34:33"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Documentary,64,RAY,JOHANSSON,"2006-02-15 04:34:33"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",English,Documentary,123,JULIANNE,DENCH,"2006-02-15 04:34:33"
