rental_id,rental_date,inventory_id,rental_customer_id,return_date,rental_staff_id,rental_last_update,payment_customer_id,payment_staff_id,amount,payment_date,payment_last_update
76,"2005-05-25 11:30:37",3021,1,"2005-06-03 12:00:37",2,"2006-02-15 21:30:53",1,1,2.99,"2005-05-25 11:30:37","2006-02-15 22:12:30"
573,"2005-05-28 10:35:23",4020,1,"2005-06-03 06:32:23",1,"2006-02-15 21:30:53",1,1,0.99,"2005-05-28 10:35:23","2006-02-15 22:12:30"
1185,"2005-06-15 00:54:12",2785,1,"2005-06-23 02:42:12",2,"2006-02-15 21:30:53",1,1,5.99,"2005-06-15 00:54:12","2006-02-15 22:12:30"
1422,"2005-06-15 18:02:53",1021,1,"2005-06-19 15:54:53",2,"2006-02-15 21:30:53",1,2,0.99,"2005-06-15 18:02:53","2006-02-15 22:12:30"
1476,"2005-06-15 21:08:46",1407,1,"2005-06-25 02:26:46",1,"2006-02-15 21:30:53",1,2,9.99,"2005-06-15 21:08:46","2006-02-15 22:12:30"
1725,"2005-06-16 15:18:57",726,1,"2005-06-17 21:05:57",1,"2006-02-15 21:30:53",1,1,4.99,"2005-06-16 15:18:57","2006-02-15 22:12:30"
2308,"2005-06-18 08:41:48",197,1,"2005-06-22 03:36:48",2,"2006-02-15 21:30:53",1,1,4.99,"2005-06-18 08:41:48","2006-02-15 22:12:30"
2363,"2005-06-18 13:33:59",3497,1,"2005-06-19 17:40:59",1,"2006-02-15 21:30:53",1,2,0.99,"2005-06-18 13:33:59","2006-02-15 22:12:30"
3284,"2005-06-21 06:24:45",4566,1,"2005-06-28 03:28:45",1,"2006-02-15 21:30:53",1,1,3.99,"2005-06-21 06:24:45","2006-02-15 22:12:30"
4526,"2005-07-08 03:17:05",1443,1,"2005-07-14 01:19:05",2,"2006-02-15 21:30:53",1,2,5.99,"2005-07-08 03:17:05","2006-02-15 22:12:30"
4611,"2005-07-08 07:33:56",3486,1,"2005-07-12 13:25:56",2,"2006-02-15 21:30:53",1,1,5.99,"2005-07-08 07:33:56","2006-02-15 22:12:30"
5244,"2005-07-09 13:24:07",3726,1,"2005-07-14 14:01:07",2,"2006-02-15 21:30:53",1,1,4.99,"2005-07-09 13:24:07","2006-02-15 22:12:30"
5326,"2005-07-09 16:38:01",797,1,"2005-07-13 18:02:01",1,"2006-02-15 21:30:53",1,1,4.99,"2005-07-09 16:38:01","2006-02-15 22:12:30"
6163,"2005-07-11 10:13:46",1330,1,"2005-07-19 13:15:46",2,"2006-02-15 21:30:53",1,1,7.99,"2005-07-11 10:13:46","2006-02-15 22:12:30"
7273,"2005-07-27 11:31:22",2465,1,"2005-07-31 06:50:22",1,"2006-02-15 21:30:53",1,2,2.99,"2005-07-27 11:31:22","2006-02-15 22:12:30"
7841,"2005-07-28 09:04:45",1092,1,"2005-07-30 12:37:45",2,"2006-02-15 21:30:53",1,1,4.99,"2005-07-28 09:04:45","2006-02-15 22:12:30"
8033,"2005-07-28 16:18:23",4268,1,"2005-07-30 17:56:23",1,"2006-02-15 21:30:53",1,2,4.99,"2005-07-28 16:18:23","2006-02-15 22:12:30"
8074,"2005-07-28 17:33:39",1558,1,"2005-07-29 20:17:39",1,"2006-02-15 21:30:53",1,1,0.99,"2005-07-28 17:33:39","2006-02-15 22:12:30"
8116,"2005-07-28 19:20:07",4497,1,"2005-07-29 22:54:07",1,"2006-02-15 21:30:53",1,2,0.99,"2005-07-28 19:20:07","2006-02-15 22:12:30"
8326,"2005-07-29 03:58:49",108,1,"2005-08-01 05:16:49",2,"2006-02-15 21:30:53",1,2,2.99,"2005-07-29 03:58:49","2006-02-15 22:12:30"
9571,"2005-07-31 02:42:18",2219,1,"2005-08-02 23:26:18",2,"2006-02-15 21:30:53",1,2,2.99,"2005-07-31 02:42:18","2006-02-15 22:12:30"
10437,"2005-08-01 08:51:04",14,1,"2005-08-10 12:12:04",1,"2006-02-15 21:30:53",1,2,4.99,"2005-08-01 08:51:04","2006-02-15 22:12:30"
11299,"2005-08-02 15:36:52",3232,1,"2005-08-10 16:40:52",2,"2006-02-15 21:30:53",1,2,3.99,"2005-08-02 15:36:52","2006-02-15 22:12:30"
11367,"2005-08-02 18:01:38",1440,1,"2005-08-04 13:19:38",1,"2006-02-15 21:30:53",1,1,0.99,"2005-08-02 18:01:38","2006-02-15 22:12:30"
11824,"2005-08-17 12:37:54",2639,1,"2005-08-19 10:11:54",2,"2006-02-15 21:30:53",1,2,4.99,"2005-08-17 12:37:54","2006-02-15 22:12:30"
12250,"2005-08-18 03:57:29",921,1,"2005-08-22 23:05:29",1,"2006-02-15 21:30:53",1,1,0.99,"2005-08-18 03:57:29","2006-02-15 22:12:30"
13068,"2005-08-19 09:55:16",3019,1,"2005-08-20 14:44:16",2,"2006-02-15 21:30:53",1,2,0.99,"2005-08-19 09:55:16","2006-02-15 22:12:30"
13176,"2005-08-19 13:56:54",2269,1,"2005-08-23 08:50:54",2,"2006-02-15 21:30:53",1,2,2.99,"2005-08-19 13:56:54","2006-02-15 22:12:30"
14762,"2005-08-21 23:33:57",4249,1,"2005-08-23 01:30:57",1,"2006-02-15 21:30:53",1,1,0.99,"2005-08-21 23:33:57","2006-02-15 22:12:30"
14825,"2005-08-22 01:27:57",1449,1,"2005-08-27 07:01:57",2,"2006-02-15 21:30:53",1,1,1.99,"2005-08-22 01:27:57","2006-02-15 22:12:30"
15298,"2005-08-22 19:41:37",1446,1,"2005-08-28 22:49:37",1,"2006-02-15 21:30:53",1,2,2.99,"2005-08-22 19:41:37","2006-02-15 22:12:30"
15315,"2005-08-22 20:03:46",312,1,"2005-08-30 01:51:46",2,"2006-02-15 21:30:53",1,1,5.99,"2005-08-22 20:03:46","2006-02-15 22:12:30"
320,"2005-05-27 00:09:24",1090,2,"2005-05-28 04:30:24",2,"2006-02-15 21:30:53",2,1,4.99,"2005-05-27 00:09:24","2006-02-15 22:12:30"
2128,"2005-06-17 20:54:58",352,2,"2005-06-24 00:41:58",2,"2006-02-15 21:30:53",2,1,2.99,"2005-06-17 20:54:58","2006-02-15 22:12:30"
5636,"2005-07-10 06:31:24",4116,2,"2005-07-13 02:36:24",1,"2006-02-15 21:30:53",2,1,2.99,"2005-07-10 06:31:24","2006-02-15 22:12:30"
5755,"2005-07-10 12:38:56",2760,2,"2005-07-19 17:02:56",1,"2006-02-15 21:30:53",2,1,6.99,"2005-07-10 12:38:56","2006-02-15 22:12:30"
7346,"2005-07-27 14:30:42",741,2,"2005-08-02 16:48:42",1,"2006-02-15 21:30:53",2,2,4.99,"2005-07-27 14:30:42","2006-02-15 22:12:30"
7376,"2005-07-27 15:23:02",488,2,"2005-08-04 10:35:02",2,"2006-02-15 21:30:53",2,1,5.99,"2005-07-27 15:23:02","2006-02-15 22:12:30"
7459,"2005-07-27 18:40:20",2053,2,"2005-08-02 21:07:20",2,"2006-02-15 21:30:53",2,2,5.99,"2005-07-27 18:40:20","2006-02-15 22:12:30"
8230,"2005-07-29 00:12:59",1937,2,"2005-08-06 19:52:59",2,"2006-02-15 21:30:53",2,2,5.99,"2005-07-29 00:12:59","2006-02-15 22:12:30"
8598,"2005-07-29 12:56:59",626,2,"2005-08-01 08:39:59",2,"2006-02-15 21:30:53",2,1,2.99,"2005-07-29 12:56:59","2006-02-15 22:12:30"
8705,"2005-07-29 17:14:29",4038,2,"2005-08-02 16:01:29",1,"2006-02-15 21:30:53",2,2,5.99,"2005-07-29 17:14:29","2006-02-15 22:12:30"
9031,"2005-07-30 06:06:10",2377,2,"2005-08-04 10:45:10",2,"2006-02-15 21:30:53",2,1,4.99,"2005-07-30 06:06:10","2006-02-15 22:12:30"
9236,"2005-07-30 13:47:43",4030,2,"2005-08-08 18:52:43",1,"2006-02-15 21:30:53",2,2,10.99,"2005-07-30 13:47:43","2006-02-15 22:12:30"
9248,"2005-07-30 14:14:11",1382,2,"2005-08-05 11:19:11",1,"2006-02-15 21:30:53",2,2,0.99,"2005-07-30 14:14:11","2006-02-15 22:12:30"
9296,"2005-07-30 16:21:13",4088,2,"2005-08-08 11:57:13",1,"2006-02-15 21:30:53",2,2,6.99,"2005-07-30 16:21:13","2006-02-15 22:12:30"
9465,"2005-07-30 22:39:53",3084,2,"2005-08-06 16:43:53",2,"2006-02-15 21:30:53",2,2,6.99,"2005-07-30 22:39:53","2006-02-15 22:12:30"
10136,"2005-07-31 21:58:56",3142,2,"2005-08-03 19:44:56",1,"2006-02-15 21:30:53",2,1,2.99,"2005-07-31 21:58:56","2006-02-15 22:12:30"
10466,"2005-08-01 09:45:26",138,2,"2005-08-06 06:28:26",1,"2006-02-15 21:30:53",2,1,0.99,"2005-08-01 09:45:26","2006-02-15 22:12:30"
10918,"2005-08-02 02:10:56",3418,2,"2005-08-02 21:23:56",1,"2006-02-15 21:30:53",2,1,0.99,"2005-08-02 02:10:56","2006-02-15 22:12:30"
